Date,City,State,Listed in FBI SHR (2009-2012),TOTAL SHOT (Not Including Shooter),Number Killed [CALCULATED],Number Injured,Females Killed,Males Killed,Children Killed (17 and Under),Shooter Suicide,Handgun,Assault Weapon,Other,Unknown,Shooter 1 Name,Shooter 1 Age,Shooter 1 Gender,Shooter 1 Prohibited,Shooter 2 Name,Shooter 2 Age,Shooter 2 Gender,Shooter 2 Prohibited,Shooter 3 Name,Shooter 3 Age,Shooter 3 Gender,Shooter 3 Prohibited,Prohibited shooter,"Shot Current/ Former Intimate Partner, Including Marriage",Shot Current/Former Partner by Marriage,Shooter/Victim Had Children In Common,Killed Other Family,Previous DV Arrest or DV Restraining Order,Prior history of DV,Notes on DV history,Killed Intimate Partner or Family [CALCULATED] ,Law Enforcement Directly Threatened,Law Enforcement Injured/Killed,Home,School,Workplace,Multiple,Other (Note),Solely Home But Not DV [CALCULATED],Red Flag,Subsequent FBI Terrorism Investigation,Public Space,Gun-Free Zone,Took place exclusively in private residence(s)
9/22/13,Rice,TX,,4,4,0,0,4,3,Yes,0,0,1,0,Guadalupe Ronquillo-Ovalle,33,Female,No, ,,,, ,,,,No,Yes,Yes,Yes,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
10/9/13,Paris,TX,,4,4,0,0,4,0,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
10/26/13,Phoenix,AZ,,4,4,0,1,3,1,Yes,0,0,1,0,Michael Guzzo,56,Male,No, ,,,, ,,,,No,No,No,No,No,No,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
10/28/13,Terrell,TX,,5,5,0,3,2,0,No,0,0,0,1,Charles Everett Brownlow Jr.,36,Male,Yes, ,,,, ,,,,Yes,No,No,No,Yes,Yes,Yes,conviction for assaulting a family member,Yes,No,No,Yes,No,No,Yes,"homes, convenience store",No,Yes,No,Yes,No,no
10/29/13,Callison,SC,,5,5,0,2,3,2,Yes,1,0,0,0,Bryan Eugene Sweatt,27,Male,Yes, ,,,, ,,,,Yes,Yes,No,Yes,Yes,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
11/7/13,Jacksonville,FL,,4,4,0,2,2,0,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
11/23/13,Tulsa,OK,,5,4,1,3,1,0,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
12/1/13,Topeka,KS,,4,4,0,2,2,0,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,Yes,"one body found behind a strip mall, 3 others found in a home",No,Unknown,No,Yes,No,no
1/16/14,Spanish Fork,UT,,4,4,0,3,1,2,Yes,1,0,0,0,Joshua Boren,34,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,Yes,No,Yes,drugged and raped his wife; his wife learned of the attacks in 2013 but did not report him,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
2/3/14,Cypress,TX,,4,4,0,1,3,2,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown, ,,,, ,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
2/20/14,Alturas,CA,,5,4,1,2,2,0,No,2,0,0,2,Cherie Rhoades,44,Female,No, ,,,, ,,,,No,No,No,No,Yes,No,Unknown,,Yes,No,No,No,No,No,No,Courthouse,No,Yes,No,Yes,No,no
2/20/14,Indianapolis,IN,,4,4,0,2,2,0,No,0,0,0,2,Kenneth Rackemann,24,Male,Yes,Valencia Williams,21,Female,No, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
6/8/14,Fort Myers,FL,,4,4,0,4,0,3,Yes,2,0,0,0,Sonny Medina,36,Male,No, ,,,, ,,,,No,Yes,No,Yes,No,No,Yes,"Medina‰Ûªs brother told police that Medina told him about an incident approximately two years before the shooting in which Medina shoved his girlfriend, causing bruising.",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
7/9/14,Spring,TX,,7,6,1,3,3,4,No,1,0,0,0,Ronald Lee Haskell,33,Male,Yes, ,,,, ,,,,Yes,No,No,No,Yes,Yes,Yes,"mutual restraining order w ex-wife, accused of choking sister and mother",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
7/26/14,Saco,ME,,4,4,0,2,2,3,Yes,0,0,1,0,Joel Smith,33,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,Yes,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
8/4/14,Culpeper,VA,,4,4,0,4,0,3,Yes,1,0,1,0,Clarence Washington,35,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,Yes,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
9/18/14,Bell,FL,,7,7,0,4,3,6,Yes,1,0,0,0,Don Spirit,51,Male,Yes, ,,,, ,,,,Yes,No,No,No,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
10/24/14,Marysville,WA,,5,4,1,3,1,4,Yes,1,0,0,0,Jaylen Fryberg,15,Male,Yes, ,,,, ,,,,Yes,No,No,No,Yes,No,Unknown,,Yes,No,No,No,Yes,No,No,,No,No,No,Yes,Yes,no
11/15/14,Springfield,MO,,4,4,0,1,3,0,No,1,0,0,0,Scott Goodwin-Bey,47,Male,Yes,,,,,,,,,Yes,No,No,No,No,No,Unknown,,No,No,No,No,No,No,No,Motel,No,No,No,No,No,no
11/21/14,Cleveland,OH,,5,4,1,2,2,1,No,1,0,0,0,James Sparks-Henderson,19,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,No,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
12/1/14,Morgantown,WV,,4,4,0,1,3,0,Yes,1,0,0,0,Jody Hunt,39,Male,Yes, ,,,, ,,,,Yes,Yes,No,No,Yes,Yes,Yes,"conviction for kidnapping ex-girlfriend, holding her hostage at gunpoint",Yes,No,No,Yes,No,Yes,Yes,"2 homes, a towing company",No,No,No,No,No,no
12/15/14,Souderton,PA,,5,5,0,4,1,0,Yes,2,0,0,0,Bradley Stone,35,Male,Unknown, ,,,, ,,,,No,Yes,Yes,Yes,No,No,Unknown,,Yes,No,No,Yes,No,No,Yes,"multiple homes, Field (suicide only, poison)",No,Yes,No,No,No,yes
12/20/14,Rockford,IL,,4,4,0,1,3,2,No,1,0,0,0,Calvin Carter,22,Male,No, ,,,, ,,,,No,Yes,No,No,No,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
1/9/15,San Francisco,CA,,4,4,0,0,4,0,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No,No,No,No,No,No,No,Car,No,Unknown,No,Yes,No,no
1/31/15,La Grange,GA,,4,4,0,3,1,0,No,1,0,0,0,Thomas Jesse Lee,26,Male,No, ,,,, ,,,,No,Yes,Yes,No,Yes,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
2/7/15,Douglasville,GA,,6,4,2,2,2,2,Yes,1,0,0,0,Cedric G. Prather,33,Male,Yes, ,,,, ,,,,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,ex-wife had asked judge for a temporary PO alleging that Prather forced way into her home and sexually assaulted her,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
2/26/15,Tyrone,MO,,8,7,1,3,4,0,Yes,1,0,0,0,Joseph Jesse Aldridge,36,Male,Yes, ,,,, ,,,,Yes,No,No,No,Yes,No,Unknown,,Yes,No,No,Yes,No,No,No,multiple homes in neighborhood,No,No,No,No,No,yes
3/24/15,Indianapolis,IN,,4,4,0,3,1,0,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
4/17/15,Phoenix,AZ,,4,4,0,2,2,0,Yes,1,0,0,0,Driss Diaeddinn,50,Male,No, ,,,, ,,,,No,No,No,No,Yes,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
5/13/15,Tucson,AZ,,4,4,0,2,2,1,Yes,1,0,0,0,Christopher Carrillo,25,Male,No, ,,,, ,,,,No,No,No,No,Yes,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
5/17/15,Waco,TX,,27,9,18,0,9,0,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Bar,No,Unknown,No,Yes,No,no
6/7/15,Missoula,MT,,4,4,0,2,2,3,Yes,1,0,0,0,Michael Bournes,59,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,Yes,No,Yes,ex-wife alleged he punched her in the face,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
6/13/15,Columbus,OH,,5,4,1,2,2,0,No,1,0,0,0,Robert Lee Adams,27,Male,Yes,,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
6/17/15,Charleston,SC,,9,9,0,6,3,0,No,1,0,0,0,Dylann Roof,21,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,No,Unknown,,No,No,No,No,No,No,No,Church,No,Yes,Yes,Yes,Yes,no
7/15/15,Holly Hill,SC,,5,4,1,3,1,2,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown, ,,,, ,,,,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
7/16/15,Chattanooga,TN,,7,5,2,0,5,0,No,1,1,1,0,Mohammod Abdulazeez,24,Male,No, ,,,, ,,,,No,No,No,No,No,No,Unknown,,No,Yes,Yes,No,No,No,No,US Naval reserve,No,Yes,Yes,Yes,Yes,no
8/8/15,Barre,VT,,4,4,0,4,0,0,No,0,0,1,0,Jody Herring,40,Female,Yes, ,,,, ,,,,Yes,No,No,No,Yes,Yes,Unknown,,Yes,No,No,Yes,No,No,Yes,"Parking lot, government building",No,Yes,No,Yes,Yes,no
8/8/15,Harris County,TX,,8,8,0,3,5,6,No,1,0,0,0,David Conley,49,Male,Yes, ,,,, ,,,,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,"In July 2015, the woman Conley ultimately shot and killed called police claiming that Conley had threatened to strike her son with a belt, and pushed her head against the refrigerator multiple times. ",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
9/10/15,Greenwood,MN,,4,4,0,3,1,3,Yes,0,0,1,0,Brian Short,45,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
9/17/15,Platte,SD,,5,5,0,3,2,4,Yes,0,0,1,0,Scott Westerhuis,41,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
10/1/15,Roseberg,OR,,18,9,9,3,6,0,Yes,5,0,1,0, Christopher Harper-Mercer,26,Male,No, ,,,, ,,,,No,No,No,No,No,No,Unknown,,No,Yes,No,No,Yes,No,No,,No,No,No,Yes,No,no
11/1/15,Pendleton,SC,,4,4,0,3,1,0,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown, ,,,, ,,,,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
11/14/15,Palestine,TX,,6,6,0,5,1,1,No,0,0,0,1,William Hudson,33,Male,No, ,,,, ,,,,No,No,No,No,No,No,Unknown,,No,No,No,Yes,No,No,No,Campground owned by family,No,Yes,No,No,No,yes
12/2/15,San Bernadino,CA,,36,14,22,5,9,0,No,2,2,1,0,Syed Rizwan Farook,28,Male,No, Tashfeen Malik,29,Female,No, ,,,,No,No,No,No,No,No,Unknown,,No,Yes,Yes,No,No,Yes,No,,No,No,Yes,Yes,No,no
1/27/16,Chesapeake,VA,,5,5,0,3,2,1,Yes,1,0,0,0,Cameron Dooley,26,Male,No,,,,,,,,,No,No,No,No,Yes,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
2/20/16,Kalamazoo ,MI,,8,6,2,4,2,1,No,2,0,0,0,Jason Bryan Dalton ,45,Male,No,,,,,,,,,No,No,No,No,No,No,Unknown,,No,No,No,No,No,No,Yes,"Car Dealership, Cracker Barrel restaurant",No,No,No,Yes,No,no
2/23/16,Phoenix,AZ,,4,4,0,3,1,1,No,0,0,0,1,Alex Arthur Buckner,26,Male,No,,,,,,,,,No,No,No,No,Yes,No,Unknown,,Yes,Yes,No,Yes,No,No,No,,No,No,No,No,No,yes
2/26/16,Belfair,WA,,4,4,0,2,2,1,Yes,1,0,0,0,David Wayne Campbell,51,Male,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,Unknown,,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
3/7/16,Kansas City,KS,,5,5,0,0,5,0,No,0,1,1,0,Pablo Antonio Serrano-Vitorino,40,Male,Yes,,,,,,,,,Yes,No,No,No,No,Yes,Yes,"has faced DV Charges in the past - punching brother in the face, pointing rifle at mother of children",No,No,No,Yes,No,No,Yes,,No,Yes,No,No,No,yes
3/9/16,Wilkinsburg,PA,,8,5,3,4,1,0,No,1,1,0,0,Cheron Shelton,29,Male,Yes,Robert Thomas,27,Male,Yes,,,,,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,No,No,No,No,yes
4/22/16,Pike County,OH,,8,8,0,3,5,1,No,0,0,0,1,Unknown,Unknown,Unknown,Unknown,,,,,,,,,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
4/22/16,Appling,GA,,5,5,0,3,2,0,Yes,1,0,0,0,Wayne Anthony Hawes,50,Male,No,,,,,,,,,No,No,No,No,Yes,No,Yes,"Hawes‰Ûª girlfriend reported a long and ongoing history of verbal and physical abuse, as well as alcohol abuse. ",Yes,No,No,Yes,No,No,No,Three homes,No,Yes,No,No,No,yes
6/12/16,Orlando,FL,,102,49,53,7,42,0,No,1,1,0,0,Omar Mateen,29,Male,No,,,,,,,,,No,No,No,No,No,No,Yes,ex-wife alleged that he beat hr,No,Yes,Yes,No,No,No,No,Nightclub,No,Yes,Yes,Yes,Yes,no
6/12/16,Roswell,NM,,5,5,0,5,0,4,No,0,0,1,0,Juan David Villegas-Hernandez,34,Male,Unknown,,,,,,,,,No,Yes,Yes,Yes,Yes,Unknown,Yes,"Days before the shooting, Villegas-Hernandez threatened to kill his wife, according to her brother. There was a history of abuse in the relationship, and Villegas-Hernandez&rsquo;s wife had recently asked for a divorce.",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
6/29/16,Las Vegas,NV,,4,4,0,2,2,3,Yes,0,0,0,1,Jason Dej-Odoum,34,Male,Unknown,,,,,,,,,No,Yes,Yes,Yes,Yes,Unknown,Yes,"Dej-Odoum‰Ûªs wife had applied for a protective order weeks before the shooting, but it was denied.  In the protection order application, she alleged that Dej-Odoum had threatened the family with guns many times in the past.  The application also suggests that Dej-Odoum threatened his children in conversation with his wife approximately three weeks before the shooting.",Yes,No,No,Yes,No,No,Yes,"Wife killed outside a Walgreens, children killed at home",No,Yes,No,Yes,No,no
7/7/16,Dallas,TX,,12,5,7,0,5,0,No,2,1,0,0,Micah Xavier Johnson,25,Male,No,,,,,,,,,No,No,No,No,No,Unknown,Unknown,,No,Yes,Yes,No,No,No,No,,No,No,No,Yes,No,no
8/6/16,Sinking Spring,PA,,4,4,0,3,1,3,Yes,1,0,0,0,Mark Short,40,Male,No,,,,,,,,,No,Yes,Yes,Yes,Yes,No,Yes,"Approximately two weeks before the shooting, police responded to a call from Short‰Ûªs wife, who indicated she was afraid of her husband.",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
9/23/16,Burlington,WA,,5,5,0,4,1,1,No,0,0,1,0,Arcan Cetin,20,Male,Yes,,,,,,,,,Yes,No,No,No,No,Yes,Yes,he was arrested for misdemeanor domestic violence assault after an argument with his stepfather.,No,No,No,No,No,No,No,Mall,No,Yes,No,Yes,Unknown,no
10/15/16,Los Angeles,CA,,15,4,11,0,4,0,No,0,0,0,1,Marlon Jones,Unknown,Male,Yes,,,,,,,,,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No,No,No,No,No,No,No,Restaurant,No,No,No,Yes,No,no
12/17/16,Chicago,IL,,5,4,1,2,2,0,Unknown,0,0,0,1,Unknown,Unknown,Unknown,Unknown,,,,,,,,,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Unknown,No,No,No,yes
